epoch,loss_training,loss_test
0,0.21073516,0.19590391
100,0.027557205,0.027561292
200,0.023142286,0.023197915
300,0.020333767,0.020472595
400,0.018483903,0.018597364
500,0.017335916,0.017443702
600,0.01603082,0.016147237
700,0.013706539,0.013898152
800,0.012647285,0.012818744
900,0.01186006,0.012035403
1000,0.011323241,0.011713574
1100,0.010123343,0.010285527
1200,0.009061337,0.009220845
1300,0.008322319,0.008487266
1400,0.007703872,0.007889264
1500,0.007337527,0.007519778
1600,0.007050816,0.007246582
1700,0.006858297,0.007036637
1800,0.006688661,0.006867837
1900,0.006545385,0.006749121
2000,0.006446068,0.006635964
2100,0.006344462,0.00655127
2200,0.006254386,0.006466573
2300,0.006169226,0.006396096
2400,0.006110106,0.006314215
2500,0.006021681,0.006264527
2600,0.00596986,0.006207208
2700,0.005921179,0.006162769
2800,0.005898555,0.006120837
2900,0.005834341,0.006097398
3000,0.005811416,0.006064892
3100,0.005784286,0.00603297
3200,0.00576227,0.00601763
3300,0.005722576,0.005994019
3400,0.005688955,0.005967018
3500,0.005683198,0.005940727
3600,0.005654978,0.005934389
3700,0.005637631,0.005910353
3800,0.005622411,0.005887085
3900,0.005589298,0.005877181
4100,0.005555221,0.005837818
4200,0.00554344,0.005823615
4300,0.005519673,0.005807942
4400,0.005484837,0.005797076
4500,0.005473804,0.005792377
4600,0.005464213,0.005764324
4700,0.005455523,0.005762278
4800,0.005443597,0.005739054
4900,0.005429633,0.005733443
5000,0.005410919,0.005728265
5100,0.005408872,0.005711256
5200,0.005385509,0.005707662
5300,0.005384511,0.005679618
5400,0.005353109,0.005673889
5500,0.005344207,0.005667476
5600,0.005330679,0.005656431
5700,0.005340651,0.005638577
5800,0.00531069,0.005645088
5900,0.00530606,0.005622469
6000,0.005296344,0.005622561
6100,0.005312249,0.005620991
6200,0.005312644,0.005604921
6300,0.005275364,0.005609433
6400,0.005272984,0.00560057
6500,0.005276342,0.005588046
6600,0.005267313,0.005579565
6700,0.005247225,0.005574849
6800,0.005231121,0.005576236
6900,0.005230221,0.005558316
7100,0.005205279,0.00554614
7200,0.00520735,0.005545436
7300,0.005200008,0.005542474
7400,0.005194586,0.005538336
7500,0.005204207,0.005536558
7600,0.005181579,0.005537273
7700,0.005175889,0.005516899
7800,0.005199835,0.00551357
7900,0.005163654,0.005506075
8000,0.00516394,0.005494018
8100,0.005175862,0.005484048
8200,0.005149968,0.005483165
8300,0.005161855,0.005494496
8400,0.00513225,0.005470838
8500,0.005121887,0.0054638
8600,0.00511988,0.005460415
8700,0.005139228,0.005455767
8800,0.005120487,0.005450011
8900,0.005101176,0.005455835
